User ID;Purchase;Homepage;Categories;ProductPage;Onsales;Search;Basket;Others;Sum
U00040815;1;4;2;8;0;1;2;0;17
U00040884;1;14;8;58;1;3;3;1;88
U00040990;0;2;1;6;3;0;0;1;13
U00041125;0;10;2;36;1;10;6;1;66
U00041258;1;5;0;22;1;6;4;0;38
U00041368;1;6;7;11;2;1;2;0;29
U00041377;1;6;2;23;1;7;3;2;44
U00041441;1;9;10;26;3;3;5;1;57
U00041489;1;5;4;11;1;1;1;0;23
U00041586;1;2;2;6;3;0;0;0;13
U00041670;0;3;3;8;1;1;0;0;16
U00041890;0;6;2;23;0;7;4;1;43
U00041920;0;11;9;54;0;1;4;1;80
U00041954;1;5;6;14;0;1;3;0;29
U00042036;1;13;10;60;0;2;4;0;89
U00042173;1;4;0;21;1;6;5;2;39
U00042222;0;3;5;9;1;2;1;0;21
U00042308;1;6;0;22;1;7;4;0;40
U00042388;0;4;2;7;2;1;0;1;17
U00042431;1;3;3;8;1;1;1;0;17
U00042458;1;4;5;9;1;0;1;0;20
U00042515;0;4;4;12;1;1;1;0;23
U00042521;1;5;0;21;0;5;4;0;35
U00042622;0;3;1;4;2;0;0;1;11
U00042635;1;4;4;12;1;1;2;0;24
U00042776;1;6;7;16;1;1;2;1;34
U00042804;0;5;6;13;1;1;2;0;28
U00042823;1;3;1;5;2;1;0;0;12
U00042996;1;4;2;4;2;0;0;0;12
U00043097;0;3;2;4;2;1;0;0;12
U00043286;1;8;5;38;0;2;2;1;56
U00043349;0;6;4;8;3;1;1;0;23
U00043388;0;6;0;26;0;9;5;1;47
U00043413;0;4;1;5;2;1;1;0;14
U00043426;1;4;5;9;1;0;1;1;21
U00043659;1;5;3;30;0;9;5;0;52
U00043714;0;5;6;12;1;1;2;0;27
U00043786;1;11;0;38;0;13;9;2;73
U00043787;0;4;3;7;1;0;1;0;16
U00043800;1;3;3;7;1;1;1;0;16
U00043859;0;4;3;4;2;0;0;0;13
U00044045;0;5;1;29;1;10;7;1;54
U00044129;0;5;2;5;2;1;0;0;15
U00044247;1;9;7;17;1;2;2;2;40
U00044259;1;5;1;10;3;0;0;1;20
U00044262;1;3;5;10;1;1;2;1;23
U00044310;0;13;7;57;1;2;3;1;84
U00044579;0;11;1;14;4;1;0;0;31
U00044760;0;8;0;49;1;15;8;2;83
U00044847;1;7;1;19;0;7;4;1;39
U00044879;0;6;2;9;4;0;0;0;21
U00044896;0;5;3;10;3;0;0;1;22
U00045204;1;8;4;10;3;0;0;1;26
U00045258;1;3;2;6;2;0;1;0;14
U00045263;0;4;8;19;2;1;2;0;36
U00045406;1;3;5;8;1;1;1;0;19
U00045419;0;8;9;16;2;1;2;1;39
U00045643;1;9;8;17;3;1;3;2;43
U00045753;1;6;6;18;2;1;2;0;35
U00045861;0;5;1;8;2;1;1;0;18
U00045896;1;3;2;4;2;0;0;0;11
U00045931;1;5;7;13;2;1;3;1;32
U00046048;1;12;2;40;2;14;6;2;78
U00046074;1;20;8;75;2;3;4;2;114
U00046102;1;4;2;8;3;0;1;0;18
U00046113;1;6;4;11;1;1;1;0;24
U00046289;1;6;0;20;0;7;5;1;39
U00046567;0;13;11;53;2;2;3;1;85
U00046822;0;3;2;5;2;1;1;1;15
U00046964;1;8;2;29;0;10;7;1;57
U00046974;0;3;2;4;1;1;0;0;11
U00047010;0;2;2;5;2;0;0;0;11
U00047220;1;4;4;8;1;1;1;0;19
U00047238;1;5;2;17;1;6;3;2;36
U00047260;1;5;1;36;2;11;7;1;63
U00047333;1;6;8;16;1;1;2;1;35
U00047506;0;5;7;15;1;2;2;1;33
U00047535;1;4;3;6;1;1;1;0;16
U00047749;1;5;0;18;1;5;3;0;32
U00047795;0;8;2;35;1;10;6;1;63
U00047820;0;9;7;36;0;12;8;2;74
U00047906;0;6;5;7;3;1;0;1;23
U00047960;0;6;3;10;1;1;2;0;23
